itemId,name,description,price
202272,"Ladies' OGIO Jewel Shirt RHEL","Moisture-wicking 100% polyester. Rib-knit collar and cuffs; Ogio jacquard tape inside neck; bar-tacked three-button placket with Ogio dyed-to-match buttons; side vents; tagless; Ogio badge on left sleeve. Import. Embroidery. Blacktop.",31.55
271763,"Eddie Bauer Softshell Jacket JBoss Middleware","Water-resistant, breathable three-layer fabric combines 96% polyester/4% spandex and membrane inner layer. Zip front, component loops at back of neck and cuffs for securing other jackets, front zip pockets, right chest pocket, adjustable tab cuffs and open bottom hem with drawcord and toggles. Eddie Bauer logo on right chest. Gray Steel. Embroidery.",68.84
231292,"Eddie Bauer Softshell Jacket Red Hat","Water-resistant, breathable three-layer fabric combines 96% polyester/4% spandex and membrane inner layer. Zip front, component loops at back of neck and cuffs for securing other jackets, front zip pockets, right chest pocket, adjustable tab cuffs and open bottom hem with drawcord and toggles. Eddie Bauer logo on right chest. Black. Embroidery.",65.25
231267,"Hooded Full Zip Sweatshirt Red Hat","Eco-friendly, 6.3 oz., 50% polyester/38% cotton/12% rayon including 6.25% organic cotton and 6.25% recycled polyester. Unisex design; tie-less hood; front pockets; vintage-look, natural color zipper tape; ribbed binding at armholes and bottom hem. Relaxed fit. Made for alternative. Eco Black. Embroidery. Import.",35.5
274747,"Atomic Full-Zip Hoodie Red Hat","Eco-friendly, 6.3 oz., 50% polyester/38% cotton/12% rayon including 6.25% organic cotton and 6.25% recycled polyester. Unisex design; tie-less hood; front pockets; vintage-look, natural color zipper tape; ribbed binding at armholes and bottom hem. Relaxed fit. Made for alternative. Embroidery, two locations. Eco Black. Import.",29.95
266649,"Fleece Raglan Hoodie Red Hat","heathered, 6.5 oz., 55% ringspun, combed cotton/45% polyester fleece. Drawstring hood. Pouch pocket. Rib-knit cuffs and bottom hem. Coverstitched raw edge details. Import. Screen Print. Heathered Grey.",25.3
188716,"Shadowman T-Shirt Red Hat","Preshrunk, 5.4 oz., 100% cotton. Seamless ribbed collar; double-needle stitched sleeve and bottom hems; taped shoulder-to-shoulder. Import. Imprint. Black.",5.9
1878042,"OpenShift Code on T-Shirt OpenShift","Preshrunk, 4.5 oz., 100% 30 singles ringspun cotton. Seamless, 7/8' rib-knit collar; double-needle stitched neckline and sleeves; quarter turned; shoulder-to-shoulder taping. Import. Imprint. Black.",6.95
203222,"RHEL 7 Commemorative T-Shirt","Preshrunk 4.8 oz., 100% 30 singles ringspun cotton. Seamless, 1/2' rib-knit collar; double-needle stitched neckline and sleeves; quarter turned; shoulder-to-shoulder taping. Import. Imprint. Black. Fitted style - please order accordingly.",8.00
231270,"Memo-List T-Shirt Red Hat","Preshrunk 3.5 oz. combed ringspun 100% cotton super soft baby jersey knit with coverstitched collar and hemmed sleeves. Custom contour fit. Asphalt. Imprint.",8.42
231268,"Linux T-Shirt Red Hat","Preshrunk 3.5 oz.combed ringspun 100% cotton super soft baby jersey knit with coverstitched collar and hemmed sleeves. Custom contour fit. Red. Imprint.",8.42
231272,"Open Performance T-Shirt Red Hat","Moisture-wicking, lightweight, 3.8 oz. 100% polyester crewneck t-shirt with removable tag and double-needle stitched sleeves and hem. Made for Sport-Tek® Silver. Imprint.",9.82
266726,"Est 1993 T-Shirt Red Hat","Fabric laundered, 4.3 oz., 60% cotton/40% polyester CVC blend jersey knit in 32 singles. Baby rib-knit crewneck collar. Import. Screen Print. Red.",10.35
266727,"Red Hat Lives Here T-Shirt Red Hat","Fabric laundered, 4.3 oz., 60% cotton/40% polyester CVC blend jersey knit in 32 singles. Baby rib-knit crewneck collar. Import. Screen Print. Charcoal.",10.8
220332,"Fedora Ringer T-Shirt","Preshrunk, 5 oz., 50% combed, ringspun cotton/50% polyester. Coverstitched collar and hemmed cuffs; custom contoured fit. Import. Imprint. Heather Blue/Navy.",11.6
271768,"JBOSS T-Shirt JBoss Middleware","Comfortable, durable, 3.8 oz., 50% polyester/37.5% cotton/12.5% rayon in 40 singles yarn. Rib-knit collar; hemmed sleeves; side-seamed; fitted style. Import. Imprint. Charcoal Heather.",14.04
266724,"Open Road Perf T-Shirt Red Hat","Moisture-wicking 4.1 oz., 100% polyester interlock knit with anti-microbial properties. Crewneck. Set-in sleeves. Import. Screen Print. Athletic Heather.",14.8
266725,"Raglan Baseball T-Shirt Red Hat","Preshrunk, 4.2 oz., 100% combed, ringspun cotton jersey. Contrast color raglan sleeves. Ribbed cuffs. Double-needle stitched neckline and bottom hem. Side seamed. Import. Screen Print. Deep Heather/Black.",16.7
266659,"Chambers Polo Red Hat","Moisture-wicking, 100% polyester interlock with contrast front and back yokes and colorblock insert on upper front. Self-fabric collar. Three-button placket. Forward shoulders. Open sleeves. Side vents. CBUK imprint on upper back. Import. Transfer. Black/White.",25.25
231297,"OGIO Framework Polo Red Hat","Moisture-wicking, odor control, 4.2 oz., 100% polyester piqué. Self-fabric collar, three-button placket with dyed-to-match buttons, open hem sleeves with Ogio badge on the left sleeve. Blacktop. Embroidery.",25.46
266657,"Eddie Bauer Performance Polo Red Hat","Moisture-wicking, odor-controlling, 4.7 oz., 64% cotton/36% polyester double-knit jacquard offers UPF30 sun protection. Flat-knit collar. Three-button placket with dyed-to-match Eddie Bauer buttons. Open sleeves and hem. Eddie Bauer logo on left sleeve. Import. Embroidery. Black.",26.95
202271,"OGIO Caliber Shirt RHEL","Moisture-wicking 100% polyester. Rib-knit collar and cuffs; Ogio jacquard tape inside neck; bar-tacked three-button placket with Ogio dyed-to-match buttons; side vents; tagless; Ogio badge on left sleeve. Import. Embroidery. Blacktop.",31.55
193377,"OGIO Caliber Shirt JBoss Middleware","Moisture-wicking 100% polyester. Rib-knit collar and cuffs; OGIO jacquard tape inside neck; bar-tacked three-button placket with OGIO dyed-to-match buttons; side vents; tagless; OGIO badge on left sleeve. Import. Embroidery. Blacktop.",31.55
270880,"Van Heusen Twill Shirt Red Hat","Wrinkle-resistant, moisture-wicking, 3.7 oz., 60% cotton/40% polyester twill. Spread collar. Left chest pocket. Long sleeves with adjustable cuffs. Import. Embroidery. Ash.",34.8
266729,"Park Slope Messenger Bag Red Hat","Polyester. Fold-over flap; zip top; outer pocket; various inside compartments; adjustable, padded shoulder strap. 17"x10"x3". Import. Imprint. Black.",28.65
266730,"Center Lane Pocket Tote Red Hat","2.35 oz. nonwoven polypropylene. Open top. Open front pocket. Pen loop. Double shoulder straps. Dimensions: 14"W x 14"H x 3-1/2"D. Import. Screen Print. Red.",1.67
266728,"Commander Tech Backpack Red Hat","1680-denier dobby polyester and 420-denier dobby nylon. Zip top. TSA-friendly compartment for up to 15' laptop in back. Four outside cargo pockets. Side pockets with daisy chain web accents. Slip-resistant, cross-weave elastic holder. Tablet pocket. Front cargo pocket with organizer pockets. Key fob leash. Icon patches for tech areas. Inside organizer pockets. Top grab handle. Padded shoulder straps. Dimensions: 12"W x 19"H x 6-1/2"D. Import. Embroidery. Gray.",50.6
162963,"Pocket Koozie Red Hat","Scuba 1/8" high density open cell foam. Folds flat. Imprint. Assembled in USA.",0.98
231580,"Trans. Bottle w/Flip Straw Red Hat","Translucent PETE plastic bottle with contour grip neck and flip straw lid. Holds 28 oz. Fits most cup and bike bottle holders. Union assembled in USA. Hand Wash Only - Do Not Microwave. Smoke/Gray. Imprint.",2.90
277667,"20 oz. Himalayan Tumbler JBoss Middleware","BPA-free, double-wall, vacuum-insulated with stainless steel shell and liner. Keeps beverages hot or cold for up to six hours. Spill-resistant lid has rubber gasket and thumb-slide closure. FDA compliant. Hand wash recommended. Do not microwave. Poly-bagged. Holds 18 oz. Import. Screen Print. Red w/Charcoal lid.",9.25
266650,"18 oz. Himalayan Tumbler Red Hat","BPA-free, double-wall, vacuum-insulated with stainless steel shell and liner. Keeps beverages hot or cold for up to six hours. Spill-resistant lid has rubber gasket and thumb-slide closure. FDA compliant. Hand wash recommended. Do not microwave. Poly-bagged. Holds 18 oz. Import. Screen Print. Silver.",9.45
234393,"Tritan 16 oz. Tumbler Red Hat","FDA-compliant, BPA-free, double-wall Tritan™ copolyester plastic. Impact, shatter, stain and odor resistant. Sealed design reduces condensation. Freezer and top rack dishwasher safe. Assembled in USA. Holds 16 oz. Clear/Red. Epoxy Dome Imprint. Gift box.",11.15
266651,"17 oz. h2go Force Bottle Red Hat","Double-wall, 18/8 stainless steel thermal bottle with copper vacuum insulation. Screw-on, stainless steel lid. Keeps drinks hot for 12 hours or cold for 24 hours. Hand wash only. Do not microwave. Gift boxed. Holds 17 oz. Import. Screen Print. Matte Black.",14.2
277673,"RoxBox Bluetooth Speaker JBoss Middleware","Easy to connect Bluetooth speaker turns any mobile device into a portable sound system. Built-in subwoofer provides exceptional sound quality. Built-in mic allows for use as hands-free phone, perfect for conference calls. Features three easy to use buttons on the top of the speaker - phone button to take calls, volume up, and volume down. Includes USB cable for recharging and a 3.5mm audio jack for non-Bluetooth devices. Screen print. Black.",40
202257,"Rotate USB Drive 4GB RHEL 7","ABS plastic/aluminum mass storage device plugs into USB port. Tiny unit folds into self. Holds 4GB; supports USB spec 1.1/2.0; USB self-powered. Requires no driver for Windows ME/2000/XP/Vista or Mac OS X or above. 3/4'x2-7/32'x7/16'. Silver/Black. Imprint.",5.90
266737,"2600 mAh Toddy Tech Set Red Hat","	Includes portable charger, a 5'x7' microfiber polyester cleaning cloth and a 7 1/2' x 12' microfiber polyester drawstring pouch. Charger has rechargeable 2600mAh lithium ion battery. USB port output and micro USB input port. Charges devices at 1mAh (amps per hour) and may not be compatible or ideal for your mobile or tablet device. Please consult your device owner?s manual to review power consumption requirements. 1'x3-5/8'x7/8'. Cloth has antibacterial treatment; washable and reusable. Assembled in USA. Imprint/Sublimation. Red.",18.85
266660,"Bluetooth Headphones - DS Red Hat","Adjustable plastic with over-the-ear covers. Connects wirelessly to Bluetooth®-enabled devices up to 25 ft. away; built in microphone for integrated call handling functions; outside noise reduction; multifunction on-ear buttons; rechargeable battery for up to four hours of use; 3.5mm headphone cord; micro USB charging cable; soft carry bag. 8'x7-1/4'x2-3/4'. Import. Epoxy Dome. Black. Gift boxed.",36.25
266738,"Wireless Carabiner Speaker Red Hat","Compact plastic case with carabiner clip holds speaker that works wirelessly with any Bluetooth®-enabled audio player. Water-resistant. Built-in rechargeable battery. Built-in microphone for answering calls. Control buttons. Charging cable. Up to 3.5 hours of playback. Operates up to 33 ft. from device. Ground ship only. Gift boxed. Dimensions: 3'W x 4'H x 1-1/2'D. Import. Screen Print. Red.",21.20
277668,"12' JBOSS Middleware Camel JBoss Middleware","12' Plush Camel. Red ribbon tied around neck with Red Hat JBoss Middleware logo printed in white.",13.75
231657,"LED Lighted Screwdriver Red Hat","Metal barrel with magnetic tip and top storage holds three flathead and three Phillips screwdriver bits. Red. Laser Engrave.",2.75
266655,"Cool Vibes Sunglasses Red Hat","Plastic sunglasses in classic folding design. Dark tint UV400 protective lenses. Import. Imprint. White.",3.90
269579,"Metal LED Flashlight Red Hat","Metal barrel holds 14 bright white LEDs. Requires three AAA batteries(not included). Dimensions: 5-3/4'x1-3/4'. Gift boxed. Epoxy Dome. Black.",6.35
266653,"7-in-1 Financial Tool Red Hat","Stainless steel plate includes wrench, screwdriver, bottle opener, ruler and secure straps to hold cash and cards. Lightweight and durable. Travel friendly. Dimensions: 3-5/8'W x 2-3/8'H x 1/8'D. Import. Laser Engraving. Stainless.",9.20
266734,"Roll-up Picnic Blanket Red Hat","Polyester fleece plaid with lining and water-resistant PE backing. Blanket folds and rolls into flap with handle and hook-and-loop closure. Surface washable. Dimensions: 47'W x 52'H unfolded; 12'W x 7'H, folded. Import. Screen Print. Black/Red Black Plaid.",9.85
270910,"Custom Red Hat Socks Red Hat","Moisture-wicking design with terry pads and heel strap. Blends terry cotton bottom with nylon/micropolyester/spandex and rayon. Compression calf; cushioned fit. One pair. Imprint. Gray.",11.5
231595,"Auto Open Umbrella Red Hat","58' arc umbrella is a Staples Promotional Products exclusive item offering optimal coverage. Vented, nylon canopy resists inversion on windy, rainy days. Steel shaft and ribs provide reinforcement. EVA cushion grip handle. Lifetime warranty from ShedRain®. Dimensions: 22'L, closed Black/Charcoal. Imprint.",20.50
234451,"Red Hat Swag Box","	Specially designed swag box holds one 16 oz. BPA-free, double-wall tumbler, freezer and top rack dishwasher safe; hard cover 5 3/4' x 8 1/4' Journal, with 192 ivory, lined pages; plus a combo pen/stylus. Gift boxed. Imprint. Black.",33.1
277669,"Ambassador Journal Book JBoss Middleware","	UltraHyde hardbound cover. Elastic closure; ribbon page marker; expandable pocket; 80 lined pages. 5-1/2'x8-3/8'x1/2'.Debossing Black",6.05
277674,"Sonic Ballpoint Pen JBoss Middleware","	Twist action ballpoint has metal barrel with polished finish for sophisticated look. Premium black ink, medium ballpoint. Metal barrel with a polished finish. Laser Engraving. Translucent Red.",9.25
231662,"Bruno Ballpoint Pen Red Hat","Aluminum base pen with colored finish and trim in chrome and black. Twist action; black ink; medium ballpoint. Red. Laser Engrave.",2.10
186499,"Lanyard w/O-Ring & Breakaway Red Hat","	Polyester lanyard with vinyl snap attachment and metal split ring. Includes safe, convenient plastic snap lanyard release. 3/4'x16' each side. Assembled in USA. Dye-sublimation imprint. White.",2.10
266739,"Ali Executive Ballpoint Pen Red Hat","Heavyweight brass base barrel with rubberized matte metallic finish and chrome accents. Click action. Medium ballpoint, black ink. Import. Laser Engraving. Black.",2.45
266662,"Mario Ballpoint Pen/Stylus Red Hat","Aluminum barrel with matte metallic finish and gunmetal trim. Soft rubber capacitive stylus tip on one end for use on touch screens and ballpoint pen at other. Clip pen activation. Medium ballpoint, black ink. Suede pouch. Import. Laser Engraving. Gunmetal.",3.00
266733,"Color Pop Journal Red Hat","UltraHyde vinyl cover. Bright color elastic closure and matching color on paper edge. 96-page ruled notebook. Dimensions: 5-1/2'W x 8-1/4'H x 1/2'D. Import. Debossed. Red.",5.50
231592,"Notebook w/Pen Red Hat","Glossy paperboard cover. Double-loop wire bound 7" x 10"notebook has 70 opaque rulled sheets of paper. Includes ballpoint pen and pen holder on back cover. Assembled in USA. Full-color imprint. Red.",6.20
266663,"Zetta Ballpoint Pen Pkg/12 Red Hat","Plastic pen with matte finish, color accent and chrome trim for a sleek, modern look. Click action mechanism for convenience. Blue ink, medium ballpoint. Import. Screen Print. Assorted colors. Package of 12 pens.",7.10
